:START_ID(Hut),:END_ID(Route),role
265777706,6267747,member
265777706,6267759,member
265777706,6267159,member
265777706,6267160,member
265777706,6267161,member
289250952,17085816,member
289250952,17080115,member
289250952,17085819,member
289250952,17080095,member
289257081,6289357,member
289257081,6289359,member
289257081,6289361,member
289257081,10861495,member
289257081,8928539,member
289406212,6289361,member
289406212,6289365,member
289406212,6289463,member
289406212,6289464,member
289406212,8928539,member
339299832,17085864,member
339299832,17085863,member
339299833,18864010,member
339299833,17085863,member
339299835,6261467,member
339299835,6261468,member
339299835,6261470,member
339303441,18864488,member
339303441,18864489,member
339305022,19059897,member
339305022,19059703,member
339326264,6306626,member
339326264,6306627,member
339326264,6306628,member
339326264,6306629,member
339398252,6313360,member
339398252,6317395,member
339398252,6317396,member
339398252,9517653,member
339398252,9517599,member
339405682,6301105,member
339405682,6301218,member
339405682,6301219,member
339405682,6301220,member
339405688,9519176,member
339405688,6301103,member
339405688,6301104,member
339405688,6301105,member
339405688,6301106,member
339405688,6301107,member
339409572,6296800,member
339409572,6296801,member
339409572,6296679,member
339409572,6296680,member
339409572,6296799,member
339409574,6283457,member
339409574,6283458,member
339409574,6285614,member
339409574,6285615,member
339409574,6285616,member
339409574,6283288,member
339409578,6285644,member
339409578,6285645,member
339409578,6289198,member
339409578,6288304,member
339409578,6289200,member
339409578,6289201,member
339409578,6289202,member
339409578,6289205,member
339409580,6285643,member
339409580,6288302,member
339409580,6285614,member
339409580,6289200,member
339409580,6289201,member
339409580,6285682,member
339409581,6287083,member
339409581,6287085,member
339409581,6289202,member
339409581,6289204,member
339409581,6289561,member
339409581,6289563,member
339409581,6289565,member
339409581,6287518,member
339409582,6287082,member
339409582,6287091,member
339409582,6289340,member
339409582,6287085,member
339409583,6287091,member
339409583,6287092,member
339409583,6287109,member
339412453,6301712,member
339412453,6296862,member
339595788,6301356,member
339595788,6301357,member
339595790,6362203,member
339595790,6362159,member
339595794,6362204,member
339595796,6362160,member
339595796,6362447,member
339595796,6362030,member
339595796,6362031,member
339599364,6261321,member
339599364,6261386,member
339599364,6261387,member
339599366,6261322,member
339599366,6261323,member
339599366,6261460,member
339599367,6261320,member
339599367,6261537,member
339599367,6261318,member
339599367,6261319,member
339599368,6267161,member
339599369,6268362,member
339599369,6267758,member
339599369,6267759,member
339599370,6265499,member
339599370,6265478,member
339599370,6265479,member
339599371,6268132,member
339599371,6265479,member
339599371,6267758,member
339599371,6265461,member
339599371,6265462,member
339599371,6265463,member
339599371,6265464,member
339599371,6265209,member
339599371,6264634,member
339599373,6258953,member
339599373,6258955,member
339599373,6258916,member
339599373,6258956,member
339599374,6259010,member
339599374,6259011,member
339599374,6264622,member
339599374,6267834,member
339599374,6267133,member
339599375,6264633,member
339599375,6264622,member
339599376,6264623,member
339599376,6264633,member
339599376,6264634,member
339599376,6264635,member
339599376,6267133,member
339599376,6263935,member
339599377,6263933,member
339599377,6263934,member
339599377,6263935,member
470930791,9520132,member
470930791,6289365,member
1348454895,6317520,member
1348454895,6317559,member
1348454895,6317685,member
1348454895,6317519,member
1356401174,6258953,member
1356401174,6258954,member
1356401816,6362161,member
1356401816,6362445,member
1356401838,6362446,member
1356401961,6289348,member
1356401961,6287084,member
1356401961,6289351,member
1356402106,6261465,member
1356402106,6261466,member
1356402628,6261538,member
1356402628,6261323,member
1356402628,19059695,member
1356402628,6261461,member
1356402628,19059703,member
1356402669,6301107,member
1356402669,6301220,member
1356402669,19059029,member
1356402744,6307794,member
1356402744,6307795,member
1356402863,18864010,member
1356402863,18864487,member
1356402956,6303595,member
1356402956,6303629,member
1356403490,6267834,member
1356403490,6268339,member
1356403490,6268340,member
1356403616,6289351,member
1356403616,6289354,member
1356403616,6289357,member
1356403616,10861494,member
1356403616,17080095,member
1356403665,19059897,member
1356403665,19059738,member
1356403681,6289354,member
1356403681,10861494,member
1356403681,10861495,member
1356403797,6287215,member
1356403797,6287503,member
1356403797,6261466,member
1356403797,6261467,member
1356403797,6261469,member
1356403797,6261470,member
1356457509,6261464,member
1356457509,6261463,member
1356458023,6318012,member
1356458023,6318013,member
1356458165,6259256,member
1356458165,6259257,member
1356458317,18864490,member
1356458317,18864491,member
1356458317,19059738,member
1356458478,6261464,member
1356458478,6261465,member
1356458520,6317393,member
1356458616,6317560,member
1356458616,6317684,member
1356458616,6317518,member
1356458616,6317519,member
1356458724,6317521,member
1356458724,6317740,member
1356458724,6317518,member
1356458986,6261461,member
1356458986,6261389,member
1356458986,6261462,member
1356458986,19059695,member
1356459001,6261462,member
1356459001,6261463,member
1356699557,6301712,member
1356699557,6303506,member
1356699557,6301356,member
1669071479,18864489,member
1669071479,18864490,member
2837945504,6317560,member
3319758520,6317684,member
3352385982,6317739,member
3352385982,6317740,member
3352385982,6317685,member
3352385982,6318165,member
4786913022,18864488,member
4786913022,18864487,member
4786913023,17085864,member
4786913023,17080115,member
5981708157,9520132,member
5981708157,9520133,member
6137075984,6306080,member
6137075984,6306081,member
6710835200,6264681,member
6710835200,6265500,member
6710835200,6265463,member
7621468648,6306625,member
7621468648,6306081,member
7621468648,6306082,member
7621468648,6306626,member
9810716499,6301217,member
9810716499,6301218,member
9810716499,6313276,member
9810716499,6301215,member
12798384665,6287083,member
12798384665,6287084,member
12798384665,6285645,member
12798384665,6289203,member
12798384665,6289564,member
12798384665,6286942,member
12801124335,6285644,member
12801124335,6285615,member
12801170418,9519176,member
12801170418,6301103,member
12801170418,6301104,member
12801170418,9519473,member
12801170418,6301015,member
12801170418,6301016,member
12801170419,6300996,member
12801170419,9519473,member
12801170419,6301016,member
12801170419,6301017,member
12801170419,6301018,member
12801170419,9519548,member
12801170420,9519552,member
12801170420,6300996,member
12801170420,6300997,member
12801170420,6300998,member
12801170420,6300999,member
12801170420,9519548,member
12801187428,6287505,member
12801187428,6287109,member
12801187428,19018687,member
12801189403,9519552,member
12801189403,6300261,member
12801189403,6300262,member
12801189403,6300999,member
12801189403,9519564,member
12801189404,9519564,member
12801189404,9520134,member
12801189404,6300262,member
12801189404,6289567,member
12801189405,6289568,member
12801189405,9520133,member
12801189405,6296678,member
12801189405,6296679,member
12801189405,6296680,member
12801189405,6296681,member
12801189405,9520134,member
12801189405,6289567,member
12801260925,6261387,member
12801260925,6261388,member
12804564864,6362400,member
12804564864,6362401,member
12804564864,6362205,member
12804587321,6267947,member
