:START_ID(Hut),:END_ID(Route),near_distance_m:float
198055834,10828890,12.24
230876197,6265501,10.40
230876197,6265502,10.40
230876197,6265527,10.40
230876197,6265528,10.40
230876197,6268133,10.40
235207459,4228445,14.66
235207459,6285617,14.66
235207459,6285681,33.66
235207459,6289359,32.00
235207459,6289370,14.66
265777706,6267159,16.02
265777706,6267160,7.45
265777706,6267161,16.02
265777706,6267747,14.75
265777706,6267759,14.75
289250952,8344292,10.28
289250952,17080095,10.28
289250952,17080115,10.91
289250952,17085816,10.44
289250952,17085819,10.44
289257081,6289357,24.76
289257081,6289359,62.52
289257081,6289361,62.52
289257081,8344292,24.76
289257081,8928539,62.52
289257081,10861495,24.76
289406212,4228445,35.37
289406212,6289361,30.44
289406212,6289365,35.37
289406212,6289370,36.29
289406212,6289463,27.14
289406212,6289464,27.14
289406212,8344292,230.06
289406212,8928539,35.37
291141562,19059738,9.30
292599738,6261466,32.08
292599738,6261467,32.08
292599738,6261469,32.08
292599738,6261470,32.08
292599738,6287215,3.49
292599738,6287503,12.68
292599738,12885350,12.68
328384817,4596687,4.78
328384818,4596687,2.38
328585391,4596687,5.37
328595399,4596687,5.13
339299832,17085863,7.67
339299832,17085864,6.25
339299833,17085863,7.94
339299833,18864010,27.54
339299835,6261467,23.40
339299835,6261468,23.40
339299835,6261470,23.40
339299835,19111628,23.40
339303441,18864488,4.09
339303441,18864489,4.66
339305022,19059703,13.88
339305022,19059897,18.50
339326264,6306626,8.33
339326264,6306627,8.33
339326264,6306628,4.65
339326264,6306629,8.33
339398252,4218297,7.56
339398252,6313360,7.56
339398252,6317395,7.56
339398252,6317396,7.56
339398252,9517599,7.56
339398252,9517653,7.56
339405682,6301105,30.39
339405682,6301218,6.68
339405682,6301219,30.39
339405682,6301220,6.68
339405682,9518800,6.68
339405682,9519177,30.39
339405682,12885337,6.68
339405688,6301103,10.26
339405688,6301104,43.15
339405688,6301105,43.15
339405688,6301106,86.54
339405688,6301107,43.15
339405688,9519176,10.26
339405688,9519177,43.15
339405688,12885337,10.26
339409572,6296799,40.99
339409572,6296800,11.30
339409572,6296801,11.30
339409574,6283288,5.02
339409574,6283457,5.02
339409574,6283458,5.02
339409574,6285614,5.02
339409574,6285615,5.02
339409574,6285616,5.02
339409578,6285644,10.96
339409578,6285645,11.21
339409578,6288304,122.39
339409578,6289200,122.39
339409578,6289201,10.96
339409578,6289202,11.21
339409578,6289205,122.39
339409578,12885350,10.96
339409580,6285614,8.92
339409580,6285643,8.92
339409580,6285682,8.92
339409580,6288302,8.92
339409580,6289200,8.92
339409580,6289201,8.92
339409581,6287083,15.80
339409581,6287085,15.80
339409581,6287518,15.80
339409581,6289202,15.80
339409581,6289204,15.80
339409581,6289561,15.80
339409581,6289563,15.80
339409581,6289565,15.80
339409581,12885350,15.80
339409582,6287082,40.78
339409582,6287085,40.78
339409582,6287091,40.81
339409582,12885350,40.78
339409583,6287091,13.17
339409583,6287092,37.33
339409583,6287109,37.33
339409583,12885350,13.17
339412453,6296862,89.24
339412453,6301712,128.12
339595788,6301356,19.60
339595788,6301357,19.60
339595790,6362159,51.80
339595790,6362203,13.72
339595794,6362204,8.67
339595796,6362030,6.49
339595796,6362031,6.49
339595796,6362160,6.49
339595796,6362447,6.49
339595798,19229834,103.92
339595798,19229835,25.76
339599364,4240894,6.10
339599364,6261321,7.22
339599364,6261386,7.22
339599364,6261387,6.10
339599366,6261322,87.24
339599366,6261323,89.16
339599366,6261460,89.16
339599367,4240894,128.39
339599367,6261318,10.69
339599367,6261319,10.69
339599367,6261320,10.69
339599367,6261537,10.69
339599368,6267161,89.81
339599369,6267758,10.01
339599369,6267759,10.01
339599369,6268362,10.01
339599370,6265478,0.00
339599370,6265479,0.00
339599370,6265499,0.00
339599371,6264634,6.02
339599371,6265209,5.18
339599371,6265461,6.02
339599371,6265462,6.02
339599371,6265463,6.02
339599371,6265464,6.02
339599371,6265479,6.02
339599371,6267758,6.02
339599371,6268132,6.02
339599373,4240894,9.71
339599373,6258916,9.71
339599373,6258953,9.71
339599373,6258955,9.71
339599373,6258956,9.71
339599374,4240894,158.03
339599374,6259010,158.03
339599374,6259011,158.03
339599374,6264622,236.04
339599374,6267133,236.04
339599374,6267834,236.04
339599375,6264622,12.13
339599375,6264633,12.13
339599375,6264634,12.70
339599376,4240894,28.48
339599376,6263935,28.73
339599376,6264623,28.48
339599376,6264633,28.48
339599376,6264635,28.48
339599376,6267133,28.48
339599377,4240894,12.46
339599377,6263933,12.46
339599377,6263934,12.46
339599377,6263935,13.46
396226319,6264635,63.79
396226319,6264676,63.79
396226319,6264681,63.79
396226319,6265464,63.79
470930791,4228445,119.61
470930791,6289365,119.61
470930791,8344292,238.93
470930791,9520132,119.61
470930791,9964783,446.41
470930791,15488555,175.61
470930791,15489090,446.41
470930791,15489091,291.88
622411605,19111626,16.61
624030029,6265500,9.02
624030029,6265501,21.41
624030029,6265502,21.41
686169923,6287109,122.64
686169923,6287245,9.13
686169923,6287504,10.86
686169923,6287505,9.13
686169923,12885350,122.64
686169923,19018687,122.65
686379678,6287091,13.16
686379678,6287092,37.26
686379678,6287109,37.26
686379678,12885350,13.16
754817948,19111625,12.29
809206898,6353937,7.21
809206898,19229835,7.21
1348454895,6317519,65.24
1348454895,6317520,34.03
1348454895,6317559,34.03
1348454895,6317685,34.03
1356401174,4240894,5.20
1356401174,6258953,18.89
1356401174,6258954,5.20
1356401816,6362161,13.90
1356401816,6362445,13.90
1356401838,6362446,8.98
1356401961,6287084,16.04
1356401961,6289348,16.04
1356401961,6289351,16.04
1356402043,8344292,7.22
1356402043,10528584,7.22
1356402043,10528596,7.22
1356402043,17085816,7.22
1356402043,17085817,12.93
1356402043,17085818,12.93
1356402043,17085819,7.22
1356402106,6261465,13.40
1356402106,6261466,8.80
1356402106,12885313,8.80
1356402131,6289463,4.90
1356402131,6289464,4.90
1356402628,6261323,8.02
1356402628,19059695,8.02
1356402628,19059703,8.13
1356402669,6301107,9.83
1356402669,19059029,13.16
1356402744,6307794,9.27
1356402744,6307795,31.57
1356402863,18864010,8.77
1356402863,18864487,17.07
1356402956,6303595,8.72
1356402956,6303629,6.58
1356403016,6289343,19.11
1356403016,6289348,80.12
1356403490,6267834,38.41
1356403490,6268339,38.41
1356403490,6268340,38.41
1356403616,6289351,8.42
1356403616,6289354,30.61
1356403616,8344292,8.42
1356403616,10861494,30.61
1356403616,17080095,8.42
1356403665,19059738,7.19
1356403665,19059897,7.19
1356403665,19111625,7.19
1356403681,6289354,15.01
1356403681,6289357,192.28
1356403681,8344292,192.28
1356403681,10861494,307.20
1356403681,10861495,192.28
1356403797,6261466,31.90
1356403797,6261467,31.90
1356403797,6261469,31.90
1356403797,6261470,31.90
1356403797,6287215,3.39
1356403797,6287503,12.56
1356403797,12885350,12.56
1356457509,6261463,6.92
1356457509,6261464,6.92
1356457509,12885313,33.63
1356458023,6318012,31.55
1356458165,6259256,11.11
1356458165,6259257,11.11
1356458236,19111627,27.34
1356458236,19111628,24.81
1356458317,18864490,114.14
1356458317,18864491,29.03
1356458317,19059738,413.53
1356458478,6261464,22.75
1356458478,6261465,22.75
1356458478,12885313,22.75
1356458478,19111627,22.75
1356458489,6289466,14.73
1356458520,4218297,76.98
1356458520,6317393,10.16
1356458520,9517537,76.98
1356458520,9517566,76.98
1356458616,3916047,35.34
1356458616,6317518,39.96
1356458616,6317519,35.34
1356458616,6317560,35.34
1356458616,6317684,13.28
1356458724,6317518,24.43
1356458724,6317521,32.36
1356458724,6317740,24.43
1356458860,6313359,15.46
1356458986,6261389,122.63
1356458986,6261461,15.65
1356458986,6261462,127.25
1356458986,12885313,122.63
1356458986,19059695,122.63
1356459001,6261462,138.48
1356459001,6261463,138.48
1356459001,12885313,138.48
1356459001,19111626,138.48
1356699557,6301356,11.40
1356699557,6301712,6.11
1356699557,6303506,6.11
1417502730,19391627,6.33
1669071479,18864489,110.92
1669071479,18864490,110.92
1896395800,19111625,28.94
1896395800,19111626,28.95
1935081999,4218297,365.21
1935081999,6317395,365.21
1935081999,9517599,365.21
2837945504,6317560,19.65
3319758520,6317684,28.12
3352385982,3916047,2.85
3352385982,6317685,2.85
3352385982,6317739,2.85
3352385982,6317740,2.85
3352385982,6318165,5.69
3390758693,3916047,345.68
3390758693,6317560,345.68
4093500789,6285617,19.27
4093500789,6289466,19.27
4093500789,6296800,24.90
4786913022,18864487,18.31
4786913022,18864488,10.38
4786913023,17080115,13.70
4786913023,17085864,13.70
5052100722,6353936,313.24
5052100722,6353937,5.72
5052100722,19229835,120.52
5981708157,4228445,3.62
5981708157,6289566,3.62
5981708157,6289568,4.24
5981708157,9520132,3.62
5981708157,9520133,4.24
6137075984,6306080,9.98
6137075984,6306081,9.89
6282702618,6265526,74.83
6282702618,6265527,74.83
6282702618,6265529,74.83
6282702618,6268134,74.83
6710835200,6264681,4.64
6710835200,6265463,4.64
6710835200,6265500,4.64
7091256838,3916047,311.75
7091256838,6318103,311.75
7091256838,6318104,24.53
7621468648,6306081,4.13
7621468648,6306082,6.61
7621468648,6306625,4.13
7621468648,6306626,4.13
9810716499,6301215,16.91
9810716499,6301217,5.29
9810716499,6301218,16.25
9810716499,6313276,5.29
9810716499,9518790,5.29
9810716499,9518800,16.25
9810716499,12885337,5.29
11051031618,4240894,7.77
11051031618,6261387,23.02
11051031618,6261388,7.77
11177648171,6323439,6.71
11177648171,6353880,7.06
11177648171,6353881,7.06
11177648171,6353882,7.01
11177648171,19230094,6.71
12798384665,6285645,10.57
12798384665,6286942,10.57
12798384665,6287083,10.57
12798384665,6287084,8.82
12798384665,6289203,10.57
12798384665,6289564,10.57
12798384665,12885351,10.57
12801124335,6283459,8.28
12801124335,6285615,8.28
12801124335,6285616,8.28
12801124335,6285643,6.84
12801124335,6285644,10.99
12801124335,6285681,13.15
12801124335,6288303,6.84
12801124335,6289199,10.99
12801124335,12885350,10.99
12801170418,6301015,45.34
12801170418,6301016,45.34
12801170418,6301103,43.57
12801170418,6301104,45.34
12801170418,9519176,43.57
12801170418,9519473,45.34
12801170418,12885337,43.57
12801170419,6300996,16.19
12801170419,6301016,7.26
12801170419,6301017,90.20
12801170419,6301018,16.19
12801170419,9519473,7.26
12801170419,9519548,16.19
12801170419,12885337,7.26
12801170420,6300996,22.67
12801170420,6300997,22.67
12801170420,6300998,22.64
12801170420,6300999,7.32
12801170420,9519548,22.67
12801170420,9519552,7.32
12801170420,12885337,7.32
12801187428,6287109,122.51
12801187428,6287245,9.56
12801187428,6287504,11.47
12801187428,6287505,9.56
12801187428,12885350,122.51
12801187428,19018687,122.51
12801189403,6300261,8.56
12801189403,6300262,8.56
12801189403,6300999,8.56
12801189403,9519552,8.56
12801189403,9519564,8.56
12801189403,12885337,8.56
12801189404,6289567,21.65
12801189404,6300262,14.70
12801189404,9519564,14.70
12801189404,9520134,21.65
12801189404,12885337,14.70
12801189405,6289567,8.19
12801189405,6289568,7.09
12801189405,6296678,8.19
12801189405,6296679,7.09
12801189405,6296680,7.09
12801189405,9520133,7.09
12801189405,9520134,8.19
12801189405,12885337,7.09
12801260925,4240894,5.72
12801260925,6261387,5.88
12801260925,6261388,5.72
12802270079,3916047,217.69
12802270079,6317685,246.65
12802270079,6317739,246.65
12802270079,6317740,217.69
12804564864,6362205,7.79
12804564864,6362400,7.79
12804564864,6362401,7.79
12804587321,6267947,6.71
12804604888,6265500,7.90
12804604888,6265501,82.73
12804604888,6265502,82.73
12905366256,6353936,124.62
12905366256,6353937,124.62
12905366256,19229835,6.90
